#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Rk,Age,BTN Code,Last Name,First Name,End Team,Teams,Pos,GP,G,A,PTS,+/-,Sh,Sh%,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FO,FOW,FOL,FO%,%Tm,Hits,BkS,MsS,GvA,TkA,H/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,ESTOI,ESTOI/G,55TOI/G,55TOF/G,ES%,ESG,ESA1,ESA2,ESA,ESP,ESP/60,ESPass,ESIGP,ESIAP,ESIPP,ESFO,ESFOW,ESFOL,ESFO%,ESOZFOW,ESOZFOL,ESOZ%,ESDZFOW,ESDZFOL,ESDZ%,ESNZFOW,ESNZFOL,ESNZ%,OZ%,OZRk,ESOZF,ESDZF,ESNZF,TOI QoC,RCQoC,QoCRk,CQoC ,RCQoT,CQoT ,ESOISH%,ESOISV%,PDO,SPD,TmESGF/60,TmESGA/60,TmESSF/60,TmESSA/60,TmESCF/60,TmESCA/60,Corsi,TmESGF,TmESGA,TmESSVA,TmESSVF,TmESMF,TmESMA,TmESBF,TmESBA,Adj Corsi,oTmESGF/60,oTmESGA/60,oTmESSF/60,oTmESSA/60,oTmESCF/60,oTmESCA/60,RelC,oTmESGF,oTmESGA,oTmESSVA,oTmESSVF,oTmESMF,oTmESMA,oTmESBF,oTmESBA,ESPenT,ESPenD,ESPPD,ESPenT/60,ESPenD/60,ESPPD/60,PPTOI,PPTOI/G,54TOI/G,54TOF/G,PP%,PPG,PPA1,PPA2,PPA,PPP,PPP/60,PPPass,PPIGP,PPIAP,PPIPP,PPFO,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,PPPenT,PPPenD,SHTOI,SHTOI/G,45TOI/G,45TOF/G,SH%,SHG,SHA1,SHA2,SHA,SHP,SHPass,SHFO,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBF,TmSHBA,SHPenT,SHPenD,tmGF,tmPPGF,tmGA,tmPPGA,SOS,SOG,SO%,SOGDG,1G,OTG,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS,
17,Sep 14 '89,Halifax,NS,CAN,74,205,L,Y,24,ALEXANDERKILLORN,Killorn,Alex,TBL,TBL,C,38,7,12,19,-6,82,8.5%,639.1,16.8,792,20.8,0.81,66,6.23,24.1%,41.4%,65.5%,28,11,17,39.3%,1.2,40,22,23,17,11,3.8,2.1,2.2,1.6,1.0,14,7,0,0,0,0,1.1,524.9,13.8,13.55,35.62,27.6%,6,7,3,10,16,1.83,66,26.1%,43.5%,69.6%,21,9,12,42.9%,64,83,29.7%,81,72,30.9%,103,92,39.4%,49.0%,5,161,168,167,15.50941662,0.171,10,0.124,0.622,-4.645,10.6%,.888,899,-0.6%,2.68,3.15,25.40,28.20,51.85,54.19,-2.33,23,27,195,215,104,99,124,123,2.59,2.66,2.84,28.86,30.54,52.66,56.87,1.9,60,64,591,625,248,289,305,289,6,7,1,0.69,0.80,0.11,71.1,1.9,1.86,3.16,37.1%,1,0,2,2,3,2.5,0,16.7%,33.3%,50.0%,1,0,1,0.0%,6,1,43,12,16,3,4,17,1,1,43.2,1.1,1.14,3.58,24.2%,0,0,0,0,0,0,6,2,4,33.3%,0,5,6,26,3,7,21,2,0,1,30,7,34,5,,, ,,0,0,2,0,0,0, ,6,1.0,0.2,1.3,0.03,0.12,10.1,10.5,-5.7,3.1,0.4,0,3.5,0.09,0.33,77,0,0,,,"$680,556",$0,3.0,
46,Sep 12 '90,Burnaby,BC,CAN,77,205,L,Y,23,PATRICKWIERCIOCH,Wiercioch,Patrick,OTT,OTT,D,42,5,14,19,9,81,6.2%,659.1,15.7,882,21.0,0.75,114,10.33,14.7%,41.2%,55.9%, , , , ,0.0,28,29,24,18,1,2.5,2.6,2.2,1.6,0.1,39,12,1,1,0,0,-5.5,559.1,13.3,12.76,35.14,26.6%,2,5,2,7,9,0.97,81,10.0%,35.0%,45.0%, ,,, ,93,95,41.3%,56,56,24.6%,79,76,34.1%,62.7%,6,194,193,150,14.96397169,-0.649,6,-0.858,0.528,8.65,6.2%,.957,963,1.8%,2.24,1.23,36.27,28.44,68.63,49.48,19.14,20,11,304,243,127,86,102,162,6.51,2.24,2.15,30.53,30.94,58.62,56.10,16.6,55,53,696,708,295,275,344,396,10,3,-7,1.07,0.32,-0.75,97.4,2.3,2.28,2.65,46.2%,3,5,2,7,10,6.2,33,21.4%,50.0%,71.4%, ,,, ,14,0,77,12,26,4,2,56,1,0,2.7,0.1,0.06,5.8,1.0%,0,0,0,0,0,0, ,,, ,0,0,0,1,1,2,1,0,0,0,35,14,13,1,1,0,0%,0,0,0,0,0,0,0, ,2,1.9,2.5,4.4,0.10,0.40,18.1,11.6,7.5,3.3,1.5,-0.3,4.5,0.11,0.41,99,0,0,,,"$875,000",$0,3.8,
82,Aug 10 '91,Buffalo,NY,USA,75,226,L,Y,22,MARCUSFOLIGNO,Foligno,Marcus,BUF,BUF,LW,47,5,13,18,-4,55,9.1%,640.5,13.6,789,16.8,0.81,77,7.20,17.9%,46.4%,64.3%,75,45,30,60.0%,2.6,108,16,20,11,18,10.1,1.5,1.9,1.0,1.7,41,13,3,0,0,0,1.1,561.5,11.9,11.84,35.47,25.0%,4,4,4,9,13,1.39,49,17.4%,39.1%,56.5%,66,40,26,60.6%,63,112,35.8%,70,67,28.0%,75,102,36.2%,56.1%,12,208,184,178,15.55910727,-0.074,11,1.325,1.575,-9.082,8.1%,.899,907,-2.0%,2.48,2.80,30.62,27.82,54.99,51.32,3.67,23,26,261,232,102,100,118,124,12.52,2.12,2.34,25.84,33.44,47.33,62.12,18.5,59,65,659,864,250,375,422,347,9,10,1,0.96,1.07,0.11,72.4,1.5,1.54,4.01,27.7%,1,2,1,3,4,3.3,25,25.0%,75.0%,100.0%,9,5,4,55.6%,4,2,45,14,19,2,2,26,0,1,6.6,0.1,0.14,5.39,2.5%,0,1,0,1,1,3, ,0,0, ,1,1,2,5,1,0,1,0,0,0,28,4,29,1,,, ,,0,0,0,0,0,0, ,2,0.8,0.5,1.2,0.03,0.11,15.2,13.6,-1.5,0.3,0.5,0,0.8,0.02,0.07,99,0,0,,,"$790,000","$110,000",0.3,
6,Feb 21 '89,Woodstock,ON,CAN,75,215,L,Y,24,JAKEMUZZIN,Muzzin,Jake,LAK,LAK,D,45,7,9,16,16,77,9.1%,805.3,17.9,1084,24.1,0.74,70,5.19,16.3%,20.9%,37.2%, , , , ,0.0,70,29,31,23,7,5.2,2.2,2.3,1.7,0.5,35,10,1,1,0,0,1.2,701.9,15.6,15.13,33.36,31.2%,4,4,1,5,9,0.77,48,12.5%,15.6%,28.1%, ,,, ,132,142,40.0%,99,76,25.5%,123,113,34.5%,61.0%,6,281,221,184,15.41191918,-0.041,5,-1.003,1.22,12.856,8.3%,.934,943,1.8%,2.82,1.32,33.93,20.18,64.51,37.01,27.50,32,15,353,214,155,99,92,192,10.90,2.20,2.52,27.90,26.62,54.92,48.92,21.5,55,63,643,603,343,270,288,333,9,7,-2,0.77,0.60,-0.17,101.3,2.3,2.25,2.59,46.5%,3,3,1,4,7,4.1,22,27.3%,36.4%,63.6%, ,,, ,11,1,68,4,37,5,1,45,0,0,2.1,0.0,0.05,4.95,1.0%,0,0,0,0,0,0, ,,, ,0,1,2,0,0,0,1,1,0,0,43,11,17,1,,, ,,1,0,1,0,0,0, ,2,1.6,3.2,4.8,0.11,0.36,17.4,14.1,14.4,2.9,3.9,0,6.8,0.15,0.51,99,0,0,,,"$577,500",$0,6.7,
27,Jun 17 '93,Toronto,ON,CAN,77,199,R,Y,20,DOUGIEHAMILTON,Hamilton,Dougie,BOS,BOS,D,42,5,11,16,4,83,6.0%,719.4,17.1,905,21.5,0.79,113,9.39,17.2%,37.9%,55.2%, , , , ,0.0,59,33,27,27,8,4.9,2.8,2.3,2.3,0.7,14,7,0,0,0,0,-4.1,627.0,14.9,14.35,34.55,29.3%,3,6,3,9,12,1.15,93,13.0%,39.1%,52.2%, ,,, ,96,94,35.1%,95,70,30.5%,101,85,34.4%,53.5%,5,231,218,170,15.57957425,-0.143,5,-1.298,2.066,11.629,6.5%,.938,944,0.3%,2.29,1.79,35.34,28.77,65.80,51.57,14.24,23,18,332,271,130,98,131,176,0.37,2.89,2.19,31.59,27.70,61.28,52.31,5.3,70,53,694,617,312,259,336,406,7,0,-7,0.67,0.00,-0.67,80.7,1.9,1.9,2.4,44.2%,2,2,0,2,4,3.0,20,33.3%,33.3%,66.7%, ,,, ,6,1,54,15,26,1,4,33,0,0,11.8,0.3,0.28,5.39,4.9%,0,0,0,0,0,0, ,,, ,0,1,3,3,2,0,4,0,0,0,30,6,21,1,,, ,,0,0,0,0,0,0, ,2,1.5,1.8,3.3,0.08,0.28,16.1,13.1,-0.2,2.9,1,0,3.9,0.09,0.33,99,0,0,,,"$1,281,667","$212,500",2.5,
53,Feb 27 '91,Toronto,ON,CAN,71,187,L,Y,22,CASEYCIZIKAS,Cizikas,Casey,NYI,NYI,C,45,6,9,15,0,45,13.3%,485.4,10.8,695,15.4,0.70,41,5.12,27.3%,40.9%,68.2%,276,144,132,52.2%,10.6,75,21,14,6,21,9.3,2.6,1.7,0.7,2.6,14,7,0,0,0,0,-0.9,451.7,10.0,10.01,39.61,20.2%,6,4,4,8,14,1.86,39,28.6%,38.1%,66.7%,252,132,120,52.4%,49,48,24.1%,64,57,30.1%,103,81,45.8%,44.5%,3,125,169,162,14.87128958,-0.163,9,-0.118,-1.377,-0.975,10.1%,.894,904,-0.5%,2.80,2.80,27.57,26.37,49.68,54.48,-4.80,21,21,186,177,69,86,125,97,-2.71,2.56,2.52,31.27,27.03,57.56,56.11,-6.2,76,75,853,728,318,371,493,463,5,5,0,0.66,0.66,0.00,1.5,0.0,0.03,4.6,0.6%,0,1,0,1,1,40.4,2,0.0%,100.0%,100.0%,3,1,2,33.3%,1,0,1,0,1,0,0,0,0,0,32.2,0.7,0.68,3.86,15.0%,0,0,0,0,0,0,21,11,10,52.4%,0,4,3,29,2,10,6,1,0,0,22,1,25,4,,, ,,1,0,1,2,0,0, ,5,1.0,0.5,1.5,0.03,0.19,10.8,11.9,1.2,1.4,1.5,0,2.9,0.06,0.36,99,0,0,,,"$790,000","$110,000",2.4,
63,Mar 02 '92,E. Weymouth,MA,USA,74,205,R,Y,21,CHARLIECOYLE,Coyle,Charlie,MIN,MIN,RW/C,37,8,6,14,3,50,16.0%,557.3,15.1,762,20.6,0.73,68,7.31,38.1%,28.6%,66.7%,26,9,17,34.6%,1.1,50,9,19,9,14,5.4,1.0,2.0,1.0,1.5,28,4,2,0,0,1,9.1,514.2,13.9,13.87,35.34,28.2%,7,5,1,6,13,1.52,68,36.8%,31.6%,68.4%,22,6,16,27.3%,115,95,39.0%,66,49,21.4%,104,109,39.6%,64.6%,14,194,192,155,15.99337216,1.614,1,0.784,6.364,3.18,7.4%,.913,921,-1.3%,2.22,1.99,30.16,22.92,53.78,43.03,10.76,19,17,239,179,85,76,96,117,4.76,1.97,2.57,26.89,28.17,49.28,52.86,14.3,43,56,543,558,218,244,294,270,5,15,10,0.58,1.75,1.17,28.5,0.8,0.77,4.32,15.1%,1,0,0,0,1,2.1,0,50.0%,0.0%,50.0%,3,2,1,66.7%,2,0,27,1,5,2,1,15,0,0,14.6,0.4,0.4,4.22,8.7%,0,0,0,0,0,0,1,1,0,100.0%,0,2,2,15,1,3,3,2,0,0,21,1,19,2,,, ,,1,0,2,0,0,0, ,4,0.9,0.8,1.7,0.05,0.18,8.7,9.2,4.3,2.2,1.6,0,3.8,0.10,0.41,76,0,0,,,"$690,909","$75,000",3.3,
60,Nov 21 '89,Roubaix,,FRA,72,180,L,Y,24,ANTOINEROUSSEL,Roussel,Antoine,DAL,DAL,LW/C,39,7,7,14,3,46,15.2%,366.6,9.4,562,14.4,0.65,33,5.46,38.9%,38.9%,77.8%,55,30,25,54.5%,2.3,75,16,15,8,12,12.3,2.6,2.5,1.3,2.0,85,10,7,3,0,0,0.3,335.2,8.6,8.59,39.09,18.0%,7,4,3,7,14,2.51,33,38.9%,38.9%,77.8%,48,28,20,58.3%,32,46,25.5%,54,57,36.3%,59,58,38.2%,41.3%,5,130,134,107,14.98081271,0.64,6,1.28,-0.557,-3.225,12.0%,.911,923,3.1%,3.22,2.69,26.86,30.09,49.43,61.61,-12.18,18,15,132,153,53,93,83,73,-5.67,2.48,2.68,25.46,29.16,54.47,55.97,-10.7,63,68,584,673,315,323,358,422,7,9,2,1.25,1.61,0.36,3.3,0.1,0.08,5.54,1.4%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%,2,1,1,50.0%,0,0,2,0,1,0,0,0,0,0,28.1,0.7,0.72,4.74,13.2%,0,0,0,0,0,0,5,1,4,20.0%,0,2,6,18,2,8,8,0,1,0,18,0,17,2,,, ,,1,0,0,1,0,1,0%,6,1.3,0.5,1.8,0.05,0.29,8.2,8.7,3.8,2.3,1.1,0,3.4,0.09,0.56,86,0,0,,,"$532,071",$0,3.2,
19,Nov 27 '91,Gardena,CA,USA,74,207,R,Y,22,BEAUBENNETT,Bennett,Beau,PIT,PIT,RW,26,3,11,14,7,30,10.0%,319.9,12.3,410,15.8,0.78,35,6.52,14.3%,52.4%,66.7%,4,1,3,25.0%,0.2,28,9,15,7,10,5.3,1.7,2.8,1.3,1.9,6,3,0,0,0,0,0.6,276.5,10.6,10.52,37.96,21.7%,2,4,3,7,9,1.95,35,15.4%,53.8%,69.2%,2,0,2,0.0%,33,50,35.3%,26,35,26.0%,41,50,38.7%,57.6%,14,91,92,81,15.2543499,-0.246,13,-0.884,-0.609,-2.156,11.5%,.940,951,5.5%,2.85,1.75,24.79,29.18,50.45,56.38,-5.92,13,8,100,125,49,58,66,68,-6.57,3.10,2.37,30.21,30.94,56.84,57.51,-5.3,51,39,446,470,196,179,258,242,3,4,1,0.65,0.87,0.22,43.3,1.7,1.53,3.71,29.2%,1,0,3,4,5,6.9,0,12.5%,50.0%,62.5%,2,1,1,50.0%,8,0,27,6,17,1,1,8,0,0,0.1,0.0,0,4.45,0.0%,0,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0,24,10,7,0,,, ,,1,0,2,0,0,0, ,3,1.0,0.6,1.5,0.06,0.28,8,5.7,4.6,1.8,0.8,0,2.5,0.10,0.47,63,0,0,1,Upper body,"$572,727",$0,2.1,
9,Jun 25 '92,Melfort,SK,CAN,70,190,L,Y,21,JADENSCHWARTZ,Schwartz,Jaden,STL,STL,LW/C,45,7,6,13,-4,50,14.0%,561.1,12.5,846,18.8,0.66,50,5.30,38.9%,33.3%,72.2%,27,15,12,55.6%,1.0,34,18,14,9,21,3.6,1.9,1.5,1.0,2.2,4,2,0,0,0,0,2.0,540.7,12.0,11.81,36.72,24.3%,7,4,2,6,13,1.44,50,38.9%,33.3%,72.2%,24,13,11,54.2%,75,84,33.7%,82,69,32.0%,89,73,34.3%,51.3%,8,182,180,140,15.27060488,0.606,8,0.261,-1.441,2.627,8.1%,.888,896,-3.1%,2.03,2.60,25.18,23.26,48.89,46.29,2.60,18,23,205,183,97,80,124,113,-0.17,2.32,1.85,28.32,24.26,53.20,48.37,-2.2,64,51,716,617,308,284,380,377,2,5,3,0.22,0.55,0.33,12.7,0.3,0.26,4.61,5.3%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%,2,2,0,100.0%,0,0,5,0,8,0,0,2,0,0,7.8,0.2,0.17,5.06,3.3%,0,0,0,0,0,0,1,0,1,0.0%,0,0,0,5,0,4,1,0,0,0,19,0,23,0,,, ,,2,0,1,0,0,0, ,2,0.6,0.6,1.2,0.03,0.13,11.9,11.5,-4.3,0.2,1.2,0,1.4,0.03,0.15,99,0,0,,,"$766,667","$400,000",0.9,
15,Jan 29 '91,Denver,CO,USA,75,200,R,Y,22,DREWSHORE,Shore,Drew,FLA,FLA,C,43,3,10,13,-10,96,3.1%,679.7,15.8,871,20.3,0.78,124,10.95,12.0%,40.0%,52.0%,443,212,231,47.9%,18.3,37,18,26,10,19,3.3,1.6,2.3,0.9,1.7,14,7,0,0,0,0,-5.1,600.1,14.0,13.73,35.61,27.8%,1,6,2,8,9,0.90,117,5.3%,42.1%,47.4%,387,183,204,47.3%,85,103,39.9%,50,60,23.4%,87,86,36.7%,63.1%,10,222,183,184,15.60278559,-0.099,11,-0.388,2.193,0.028,5.1%,.887,892,-6.2%,1.93,3.05,37.50,26.93,64.94,51.93,13.01,19,30,350,235,126,109,137,144,9.36,1.92,3.33,26.02,31.62,49.72,54.43,17.7,49,85,615,722,268,268,314,337,6,2,-4,0.60,0.20,-0.40,42.0,1.0,0.97,3.98,19.6%,1,1,1,2,3,4.3,8,25.0%,50.0%,75.0%,38,20,18,52.6%,4,0,26,1,11,0,0,7,0,0,37.7,0.9,0.88,3.92,18.3%,1,0,0,0,1,0,18,9,9,50.0%,2,4,7,20,0,12,7,1,0,0,25,4,35,4,,, ,,0,0,1,1,0,0, ,1,-0.1,0.4,0.4,0.01,0.04,13.2,13,1.6,-0.8,1,0,0.2,0.00,0.02,95,0,0,3,Upper body,"$863,636","$200,000",-0.5,
41,Jul 26 '91,Victoria,BC,CAN,70,190,R,Y,22,TYSONBARRIE,Barrie,Tyson,COL,COL,D,32,2,11,13,-11,58,3.4%,690.6,21.6,884,27.6,0.78,58,5.04,8.7%,47.8%,56.5%, , , , ,0.0,31,24,37,15,13,2.7,2.1,3.2,1.3,1.1,10,5,0,0,0,0,3.8,568.2,17.8,16.99,31.49,35.0%,1,2,5,7,8,0.84,34,6.3%,43.8%,50.0%, ,,, ,88,88,33.1%,93,74,31.4%,100,89,35.5%,51.3%,6,217,153,167,15.41329461,0.118,4,0.472,-0.275,-2.523,5.9%,.917,923,-2.5%,1.77,2.54,30.02,30.46,58.71,55.73,2.98,16,23,256,253,125,111,118,135,5.57,2.32,2.56,28.64,29.24,51.98,56.63,7.6,39,43,442,448,148,196,264,244,5,6,1,0.53,0.63,0.11,84.3,2.6,2.56,2.17,54.1%,1,3,1,4,5,3.6,24,14.3%,57.1%,71.4%, ,,, ,7,2,49,14,24,3,4,22,0,0,38.1,1.2,1.07,4.67,18.6%,0,0,0,0,0,0, ,,, ,0,2,4,27,0,16,14,1,0,0,24,7,31,3,,, ,,1,1,1,0,0,0, ,4,0.9,0.4,1.3,0.04,0.11,14.8,12.1,-6.2,1.7,-0.6,0,1,0.03,0.09,83,0,0,,,"$578,485","$210,000",0.7,
52,Nov 29 '87,Brentwood Bay,BC,CAN,74,210,L,Y,26,MATTHEWIRWIN,Irwin,Matt,SJS,SJS,D,38,6,6,12,-1,79,7.6%,725.8,19.1,921,24.2,0.79,30,2.51,17.6%,17.6%,35.3%, , , , ,0.0,39,65,25,29,16,3.2,5.4,2.1,2.4,1.3,10,5,0,0,0,0,3.1,652.0,17.2,16.37,33.1,33.1%,2,2,3,5,7,0.64,30,8.7%,21.7%,30.4%, ,,, ,109,100,34.3%,95,88,30.0%,115,102,35.6%,53.3%,7,235,220,188,15.50782396,-0.123,5,-0.548,4.034,5.689,6.6%,.919,926,-1.5%,2.22,2.03,33.66,25.08,63.27,53.63,9.65,23,21,326,239,115,116,180,192,2.52,2.19,2.19,28.91,28.91,58.82,59.01,9.8,46,46,560,560,300,262,369,327,4,4,0,0.37,0.37,0.00,66.6,1.8,1.75,3.24,35.1%,4,0,1,1,5,4.5,0,36.4%,9.1%,45.5%, ,,, ,11,2,59,11,18,2,3,34,0,0,7.3,0.2,0.19,4.3,4.2%,0,0,0,0,0,0, ,,, ,0,0,0,2,0,2,4,0,0,0,34,11,24,0,,, ,,0,0,0,0,0,0, ,4,1.2,1.9,3.0,0.08,0.25,16.2,13.5,1,1.7,1.3,0,3.1,0.08,0.26,82,0,0,,,"$538,384",$0,2.9,
65,Jul 26 '88,Lynnfield,MA,USA,73,180,R,Y,25,BRIANFLYNN,Flynn,Brian,BUF,BUF,C/RW,26,6,5,11,6,49,12.2%,381.7,14.7,479,18.4,0.80,20,3.17,40.0%,33.3%,73.3%,60,24,36,40.0%,3.8,10,20,11,3,9,1.6,3.1,1.7,0.5,1.4,0,0,0,0,0,0,4.4,341.0,13.1,12.66,35.38,26.4%,5,2,2,5,10,1.76,20,35.7%,35.7%,71.4%,50,21,29,42.0%,44,49,32.3%,37,50,30.2%,42,66,37.5%,51.7%,9,111,114,97,15.73246118,0.592,10,2.293,-0.168,-11.29,9.9%,.943,953,4.2%,2.55,1.46,25.70,25.52,45.02,51.04,-6.02,14,8,127,132,51,65,75,55,7.08,1.76,2.35,24.66,33.53,46.44,62.49,10.0,27,36,351,478,138,209,235,196,0,3,3,0.00,0.53,0.53,14.6,0.6,0.59,4.81,10.9%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%,2,0,2,0.0%,0,1,6,4,5,2,1,2,0,2,26.1,1.0,0.95,4.27,18.2%,1,0,0,0,1,0,8,3,5,37.5%,1,2,3,8,0,2,8,0,0,0,15,0,12,3,,, ,,1,0,1,0,0,0, ,4,0.8,0.6,1.5,0.06,0.24,6.1,6.9,6.1,2.1,1.2,0,3.3,0.13,0.52,58,0,0,,,"$541,919","$100,000",2.9,
25,Jul 12 '93,Karlstad,,SWE,73,180,L,Y,20,JONASBRODIN,Brodin,Jonas,MIN,MIN,D,45,2,9,11,3,51,3.9%,1044.6,23.2,1340,29.8,0.78,26,1.51,5.9%,26.5%,32.4%, , , , ,0.0,17,60,17,15,18,1.0,3.4,1.0,0.9,1.0,10,4,0,0,0,0,3.7,895.2,19.9,19.14,30.1,38.9%,1,1,5,8,9,0.60,14,3.6%,28.6%,32.1%, ,,, ,149,123,30.5%,164,144,34.5%,152,160,35.0%,46.9%,1,279,348,239,15.87186258,1.046,1,0.397,1.6,-0.469,7.0%,.927,934,-0.3%,1.95,1.88,27.93,25.91,49.88,48.14,1.74,28,27,373,345,138,154,165,177,3.26,2.30,2.75,26.71,27.95,49.83,52.85,4.8,52,62,551,569,226,255,307,296,4,3,-1,0.27,0.20,-0.07,58.8,1.3,1.31,3.76,25.8%,1,2,0,1,2,2.0,12,16.7%,16.7%,33.3%, ,,, ,6,1,30,5,14,3,4,18,0,0,90.6,2.0,2,2.63,43.2%,0,0,0,0,0,0, ,,, ,0,10,13,68,7,21,33,5,0,0,37,5,39,10,,, ,,0,0,0,0,0,0, ,4,0.2,3.0,3.2,0.07,0.18,16.7,19.5,5.3,0.4,3.5,0,3.9,0.09,0.22,94,0,0,,,"$896,481","$500,000",3.2,
65,Jun 16 '92,Long Beach,CA,USA,73,210,L,Y,21,EMERSONETEM,Etem,Emerson,ANA,ANA,RW/C,38,3,7,10,7,48,6.3%,435.6,11.5,595,15.7,0.73,56,7.76,18.8%,43.8%,62.5%,5,2,3,40.0%,0.2,43,20,24,5,11,5.9,2.8,3.3,0.7,1.5,9,2,1,0,0,0,1.2,390.6,10.3,10.13,39.4,20.5%,3,4,1,5,8,1.23,48,23.1%,38.5%,61.5%,5,2,3,40.0%,61,57,34.3%,49,47,27.9%,61,69,37.8%,55.1%,13,146,145,117,14.9305326,-1.089,13,-0.483,-2.23,-6.513,8.3%,.951,959,3.4%,2.03,1.40,24.47,28.68,48.01,58.14,-10.13,13,9,144,175,67,80,109,84,-5.43,2.56,1.84,26.57,26.45,51.26,54.34,-7.0,64,46,599,614,257,312,384,359,2,3,1,0.31,0.46,0.15,5.1,0.1,0.13,4.21,3.0%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,0,0,2,0,2,0,0,2,0,1,39.8,1.0,1.05,4.16,20.2%,0,2,0,2,2,8, ,0,0, ,3,5,9,23,7,12,18,1,0,0,16,0,14,5,,, ,,0,0,0,0,0,0, ,3,0.2,0.7,0.9,0.02,0.12,7.8,9.2,3.8,0.4,1.8,0,2.1,0.06,0.29,78,0,0,,,"$685,455",$0,1.6,
47,Oct 05 '92,Bern,,CHE,70,181,L,Y,21,SVENBAERTSCHI,Baertschi,Sven,CGY,CGY,LW,20,3,7,10,0,28,10.7%,268.1,13.4,375,18.8,0.71,48,10.74,21.4%,50.0%,71.4%,1,1, ,100.0%,0.0,12,5,8,5,12,2.7,1.1,1.8,1.1,2.7,6,3,0,0,0,0,2.6,234.2,11.7,11.59,35.61,24.6%,3,4,3,7,10,2.56,48,30.0%,70.0%,100.0%,1,1,0,100.0%,29,38,30.3%,39,33,32.6%,29,53,37.1%,48.2%,9,90,97,73,15.31903316,-0.252,8,-1.031,1.756,-4.73,8.3%,.922,931,0.6%,2.59,2.59,31.06,33.39,50.99,57.98,-6.99,10,10,110,119,39,38,57,38,-2.95,2.61,2.78,26.45,30.50,49.12,58.89,2.8,31,33,283,329,125,152,185,144,2,6,4,0.51,1.54,1.02,30.4,1.5,1.47,4.27,25.6%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,4,0,19,2,8,1,0,10,1,0,3.6,0.2,0.18,5.66,3.1%,0,0,0,0,0,0, ,0,0, ,0,1,1,2,0,1,1,0,0,0,14,4,11,1,,, ,,0,0,0,0,0,0, ,2,0.7,0.3,1.0,0.05,0.22,4.3,3.6,2.4,2.1,0.4,0,2.5,0.13,0.56,70,0,0,11,Hip,"$632,239","$531,250",2.0,
3,Apr 03 '89,Willingboro,NJ,USA,73,213,L,Y,24,T.J.BRENNAN,Brennan,TJ,FLA,"BUF, FLA",D,29,3,7,10,-9,42,7.1%,484.0,16.7,589,20.3,0.82,34,4.17,14.3%,33.3%,47.6%, , , , ,0.0,31,32,32,8,12,3.8,4.0,4.0,1.0,1.5,8,4,0,0,0,0,8.9,416.0,14.3,14.21,35.77,28.4%,2,1,3,4,6,0.87,17,15.4%,30.8%,46.2%, ,,, ,61,78,40.2%,35,53,25.4%,61,58,34.4%,61.2%,7,165,128,115,14.8773785,-0.294,7,0.384,1.114,-3.643,5.8%,.908,914,-3.3%,1.89,3.06,32.47,33.34,58.09,57.37,.73,13,21,210,208,73,76,89,103,1.97,1.79,2.78,25.10,29.96,50.90,55.76,5.6,31,48,403,470,206,209,237,240,2,9,7,0.29,1.30,1.01,63.6,2.2,2.09,2.04,50.6%,1,3,0,3,4,3.8,17,12.5%,37.5%,50.0%, ,,, ,8,1,36,13,18,5,2,16,0,0,4.4,0.2,0.15,4.9,3.0%,0,0,0,0,0,0, ,,, ,0,1,2,2,1,0,2,0,0,0,21,8,24,2,,, ,,0,0,0,0,0,0, ,3,0.9,0.3,1.3,0.04,0.16,11.8,9.5,-2.7,1.5,-0.2,0,1.3,0.04,0.16,99,0,0,,,"$550,000",$0,1.2,
