#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Draft,Round,Overall,Rk,Age,BTN Code,First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,PTS,PPG,Last Year League,Last Year PPG,+/-,Sh,Miss,Blkd,Sh%,CoSH%,Dist,Wrist,Snap,Slap,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FOW,FOL,FO%,%Tm,HitA,HitF,BkS,MsS,GvA,TkA,HA/60,HF/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,SOS,SOG,SO%,SOGDG,1G,OTGP,OTG,OTA,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS
22,May 08 '91,Vanier,ON,CAN,76,210,L,2009,2,54,Y,22,ERICGELINAS,Eric,Gelinas,NJD,,,D,60,7,22,29,0.483333333,AHL,0.385964912,-3,124,52,71,5.6%,2.8%,50.7,23,13,85,1015.4,16.9,1312,21.9,0.77,100,5.93,9.0%,28.2%,37.2%,0,0,0.0%,0,93,99,20,52,26,12,5.5,5.8,1.2,3.1,1.5,0.7,22,11,0,0,0,0,-2.1,,, ,,0,18,1,0,2,0,0,0,0%,2,2.8,2.5,5.3,0.09,0.31,28.4,20.6,1.2,4.7,2.5,0,7.2,0.12,0.43,,,,,,870000,,5.7
8,Jan 30 '90,Calgary,AB,CAN,77,213,L,2008,1,16,Y,24,JOECOLBORNE,Joe,Colborne,CGY,,,C/LW,80,10,18,28,0.35,AHL,0.646153846,-17,80,33,25,12.5%,7.2%,24.9,46,6,4,1140.5,14.3,1614,20.2,0.71,106,5.60,9.4%,17.0%,26.4%,214,227,48.5%,9.3,98,129,33,33,38,30,5.2,6.8,1.7,1.7,2.0,1.6,34,17,0,0,0,0,-9.6,9,4,44%,1,1,20,0,0,1,0,0,0,0%,4,1,0.7,1.8,0.02,0.09,23.5,22,-8.1,0.6,1.5,1,3.2,0.04,0.17,,,,1,Illness,600000,,2.1
44,Mar 09 '94,Vancouver,BC,CAN,73,205,L,2012,1,5,Y,19,MORGANRIELLY,Morgan,Rielly,TOR,,,D,73,2,25,27,0.369863014,WHL,0.9,-13,96,46,72,2.1%,0.9%,45.6,64,19,7,1287.0,17.6,1748,23.9,0.74,59,2.75,2.0%,25.0%,27.0%,0,0,0.0%,0,96,96,92,46,71,38,4.5,4.5,4.3,2.1,3.3,1.8,12,6,0,0,0,0,5.3,,, ,,0,19,0,0,0,0,0,0,0%,2,1.8,1.2,3,0.04,0.14,31.7,26.9,-5.7,2.7,-0.8,0,1.9,0.03,0.09,,,,,,1744167,,-1.2
29,Oct 15 '91,Warroad,MN,USA,75,196,L,2010,1,30,Y,22,BROCKNELSON,Brock,Nelson,NYI,,,C,72,14,12,26,0.361111111,AHL,0.787878788,-10,132,56,73,10.6%,5.4%,27.5,81,20,9,1026.9,14.3,1454,20.2,0.71,45,2.62,10.2%,8.8%,19.0%,191,260,42.4%,10.4,94,74,38,56,23,32,5.5,4.3,2.2,3.3,1.3,1.9,12,6,0,0,0,0,10.7,4,3,75%,1,2,21,0,0,1,1,0,0,0%,4,1.6,0.7,2.3,0.03,0.13,21.7,20.5,-1.7,1.7,1.6,1.5,4.8,0.07,0.28,,,,,,2825000,,-0.2
48,Nov 12 '93,Praha,,CZE,74,210,L,2012,1,17,Y,20,TOMASHERTL,Tomas,Hertl,SJS,,,C,37,15,10,25,0.675675676,Czech,0.697674419,11,98,35,33,15.3%,9.0%,21.9,50,8,11,567.2,15.3,805,21.8,0.70,47,4.92,25.9%,17.2%,43.1%,29,22,56.9%,2.1,54,39,13,35,18,18,5.7,4.1,1.4,3.7,1.9,1.9,4,2,0,0,0,0,4.3,4,1,25%,0,3,11,0,0,3,1,0,0,0%,5,2.9,1.1,3.9,0.11,0.41,13.2,12,8.2,5.2,2.1,-0.2,7,0.19,0.74,,,,45,Knee,1350000,,4.6
73,Apr 10 '91,Toronto,ON,CAN,72,183,L,2009,2,59,Y,22,BRANDONPIRRI,Brandon,Pirri,FLA,CHI,28,C,49,13,12,25,0.510204082,AHL,1,6,80,39,40,16.3%,8.2%,30.8,40,14,16,635.8,13.0,866,17.7,0.73,41,3.87,13.4%,12.4%,25.8%,204,250,44.9%,15.3,38,24,15,39,7,16,3.6,2.3,1.4,3.7,0.7,1.5,8,4,0,0,0,0,4.1,4,2,50%,2,3,10,0,0,0,0,0,0,0%,3,2.6,0.8,3.4,0.07,0.32,14.6,11.8,7.2,4.5,1.7,0.6,6.8,0.14,0.64,,,,,,870000,,5.3
3,Oct 03 '94,Arlington,TX,USA,76,205,R,2013,1,4,Y,19,SETHJONES,Seth,Jones,NSH,,,D,77,6,19,25,0.324675325,WHL,0.918032787,-23,100,51,74,6.0%,2.7%,51.4,42,9,44,1510.6,19.6,1862,24.2,0.81,58,2.30,5.8%,18.4%,24.3%,0,0,0.0%,0,94,55,99,51,57,25,3.7,2.2,3.9,2.0,2.3,1.0,24,12,0,0,0,0,8.4,1,0,0%,0,2,15,1,0,2,0,0,0,0%,3,1.6,1.4,3,0.04,0.12,31.8,30.7,-17.3,2.3,0.6,-0.3,2.6,0.03,0.10,,,,5,Concussion,3225000,,-3.1
83,Nov 05 '92,Long Beach,CA,USA,71,190,L,2011,2,47,Y,21,MATTHEWNIETO,Matt,Nieto,SJS,,,LW,66,10,14,24,0.363636364,NCAA,0.948717949,-4,124,33,42,8.1%,5.0%,29.4,62,18,17,929.1,14.1,1377,20.9,0.67,113,7.29,9.6%,13.5%,23.1%,3,8,27.3%,0.2,79,7,45,33,29,17,5.1,0.5,2.9,2.1,1.9,1.1,16,7,0,0,0,0,1.5,,, ,,2,20,0,0,2,0,0,0,0%,4,1.2,0.8,2,0.03,0.13,13.6,13.6,-7.3,3.8,1.2,0,5,0.08,0.32,,,,3,"Hand, Lower body",925000,,3.4
15,Dec 07 '91,St. Catharines,ON,CAN,74,212,L,2010,1,21,Y,22,RILEYSHEAHAN,Riley,Sheahan,DET,,,C,42,9,15,24,0.571428571,AHL,0.580645161,8,59,27,20,15.3%,8.5%,23.0,33,3,4,606.9,14.4,872,20.8,0.70,125,12.39,16.4%,27.3%,43.6%,251,261,49.0%,20.7,49,25,16,27,9,17,4.8,2.5,1.6,2.7,0.9,1.7,6,3,0,0,0,0,7.3,1,0,0%,0,2,13,0,0,1,0,0,0,0%,3,2.1,1,3.1,0.07,0.31,15.1,12.7,8.9,3.3,1.8,-0.3,4.8,0.11,0.47,,,,,,900000,,3.2
16,Sep 02 '95,Tampere,,FIN,75,213,L,2013,1,2,Y,18,ALEKSANDERBARKOV,Aleksander,Barkov,FLA,,,C,54,8,16,24,0.444444444,SM-Liiga,0.905660377,-3,87,16,31,9.2%,6.0%,28.1,49,11,13,923.2,17.1,1229,22.8,0.75,146,9.46,11.1%,22.2%,33.3%,400,419,48.8%,25.7,71,16,27,16,17,30,4.6,1.0,1.8,1.0,1.1,1.9,10,5,0,0,0,0,-1.1,9,2,22%,0,1,13,0,0,1,0,0,0,0%,5,1.1,0.8,1.9,0.04,0.12,20.8,16.4,6.1,0.6,1.6,-0.7,1.4,0.03,0.09,,,,28,"Knee, Illness",3575000,,-4.9
65,Mar 07 '90,Detroit,MI,USA,75,190,L,,,,Y,23,DANNYDEKEYSER,Danny,DeKeyser,DET,,,D,65,4,19,23,0.353846154,NCAA,0.428571429,10,84,35,53,4.8%,2.3%,51.5,33,8,41,1405.8,21.6,1955,30.1,0.72,59,2.52,4.9%,23.5%,28.4%,0,0,0.0%,0,110,64,116,35,36,13,4.7,2.7,5.0,1.5,1.5,0.6,30,15,0,0,0,0,5.2,,, ,,1,21,0,1,0,0,0,0,0%,5,1.3,3.8,5.1,0.08,0.22,24.7,28.3,10.2,3.2,4.8,0,8,0.12,0.34,,,,16,"Shoulder, Back",1350000,,5.6
12,Dec 01 '88,Villach,,AUT,72,195,L,,,,Y,25,MICHAELRAFFL,Michael,Raffl,PHI,,,LW,68,9,13,22,0.323529412,SweHL,0.93877551,2,101,47,39,8.9%,4.8%,30.3,48,25,4,883.4,13.0,1292,19.0,0.68,120,8.17,8.7%,12.5%,21.2%,52,41,55.9%,2.2,113,113,44,47,21,25,7.7,7.7,3.0,3.2,1.4,1.7,28,14,0,0,0,0,3.4,3,1,33%,1,2,15,0,0,3,0,0,0,0%,7,1,1,2,0.03,0.14,15.6,17.7,1.1,2.2,2.3,0,4.6,0.07,0.31,,,,3,"Flu, Lower body",925000,,3.0
28,Jan 05 '94,Riga,,LVA,73,190,L,2012,1,14,Y,20,ZEMGUSGIRGENSONS,Zemgus,Girgensons,BUF,,,C/LW,70,8,14,22,0.314285714,AHL,0.278688525,-6,115,45,31,7.0%,4.2%,26.1,54,18,7,1072.1,15.3,1463,20.9,0.73,113,6.30,12.1%,21.2%,33.3%,100,140,41.7%,5.7,118,161,43,45,15,25,6.6,9.0,2.4,2.5,0.8,1.4,14,6,0,0,0,0,9.1,4,1,25%,1,2,20,0,0,1,0,0,1,100%,6,0.4,1.4,1.8,0.03,0.10,21.6,24.8,8.2,-0.6,3.1,-0.2,2.2,0.03,0.12,,,,12,"Facial, Finger",1369167,,-0.2
7,Jun 05 '90,Prague,,CZE,72,204,R,2010,3,66,Y,23,RADKOGUDAS,Radko,Gudas,TBL,,,D,73,3,19,22,0.301369863,AHL,0.350877193,2,114,52,85,2.6%,1.2%,53.3,46,13,46,1395.9,19.1,1748,23.9,0.80,94,4.04,2.9%,18.3%,21.2%,0,0,0.0%,0,98,273,138,52,36,13,4.2,11.7,5.9,2.2,1.5,0.6,152,41,4,3,1,1,-15.5,,, ,,1,21,1,1,1,0,0,0,0%,7,1.1,2.7,3.8,0.05,0.16,25.8,30.3,-5.8,2.2,3.1,0,5.3,0.07,0.23,,,,9,Upper body,991667,,3.6
14,Nov 06 '87,Bonnyville,AB,CAN,70,177,R,,,,Y,26,JUSTINFONTAINE,Justin,Fontaine,MIN,,,RW/LW,66,13,8,21,0.318181818,AHL,0.875,6,79,33,29,16.5%,9.2%,31.2,36,11,9,809.0,12.3,1151,17.4,0.70,56,4.15,11.6%,7.1%,18.8%,2,0,100.0%,0,49,9,23,33,14,24,3.6,0.7,1.7,2.4,1.0,1.8,26,13,0,0,0,0,-4.2,1,1,100%,1,4,18,0,0,1,1,0,0,0%,3,1.5,1.2,2.7,0.04,0.20,14.8,13.8,4.6,2.6,2.5,0.6,5.7,0.09,0.42,,,,2,"Upper body, Knee",600000,,4.6
16,Dec 02 '94,Boden,,SWE,73,192,R,2013,1,5,Y,19,ELIASLINDHOLM,Elias,Lindholm,CAR,,,C,58,9,12,21,0.362068966,SweHL,0.625,-14,70,29,31,12.9%,6.9%,25.6,41,12,4,842.5,14.5,1162,20.0,0.73,87,6.17,11.0%,14.6%,25.6%,106,123,46.3%,6.5,64,51,17,29,28,37,4.6,3.6,1.2,2.1,2.0,2.6,4,2,0,0,0,0,0.1,1,0,0%,0,1,10,0,1,2,0,0,0,0%,2,1.1,0.4,1.5,0.03,0.11,20.5,16.1,-8.2,-0.1,0.2,-0.3,-0.2,0.00,-0.01,,,,8,"Upper body, Flu, Lower body",1775000,,-3.3
45,Jun 03 '91,Jyväskylä,,FIN,70,183,R,2009,4,106,Y,22,SAMIVATANEN,Sami,Vatanen,ANA,,,D,48,6,15,21,0.4375,AHL,0.725806452,9,73,39,54,8.2%,3.6%,46.3,31,6,34,837.7,17.5,1111,23.1,0.75,94,6.70,5.1%,12.8%,17.9%,0,0,0.0%,0,79,66,47,39,22,15,5.7,4.7,3.4,2.8,1.6,1.1,22,10,0,0,0,0,5.3,,, ,,1,11,0,1,0,0,0,0,0%,3,2,1.9,3.9,0.08,0.28,19.3,16.3,1.3,4,1.5,0,5.5,0.11,0.39,,,,1,Upper body,1325000,,3.2
27,Sep 27 '93,Regina,SK,CAN,73,208,L,2012,1,2,Y,20,RYANMURRAY,Ryan,Murray,CBJ,,,D,66,4,17,21,0.318181818,WHL,0.739130435,4,62,29,47,6.5%,2.9%,48.5,19,3,35,1311.1,19.9,1487,22.5,0.88,80,3.68,4.6%,19.5%,24.1%,0,0,0.0%,0,94,26,97,29,26,12,4.3,1.2,4.4,1.3,1.2,0.5,10,5,0,0,0,0,3.5,,, ,,1,11,0,0,0,0,0,0,0%,2,1.2,3.3,4.5,0.07,0.21,26.4,29.7,1.4,2,3.4,0,5.4,0.08,0.25,,,,16,Lower body,3494167,,-0.7
23,Jul 02 '90,Burnsville,MN,USA,70,170,R,,,,Y,23,J.T.BROWN,J.T.,Brown,TBL,,,RW/LW,63,4,15,19,0.301587302,AHL,0.549019608,-9,113,41,33,3.5%,2.1%,29.1,60,11,14,821.1,13.0,1129,17.9,0.73,149,10.85,3.4%,12.9%,16.4%,7,15,31.8%,0.5,97,70,32,41,12,19,7.1,5.1,2.3,3.0,0.9,1.4,6,3,0,0,0,0,4.6,,, ,,0,18,0,0,0,0,0,1,100%,4,0.3,0.4,0.7,0.01,0.05,16.1,17.2,-13.1,0,0.9,0,0.9,0.01,0.07,,,,2,Upper body,874125,,-0.6
86,Jun 17 '93,Moscow,,RUS,71,171,L,2011,2,58,Y,20,NIKITAKUCHEROV,Nikita,Kucherov,TBL,,,RW,52,9,9,18,0.346153846,AHL,1.411764706,3,102,54,33,8.8%,4.8%,26.0,61,10,10,682.0,13.1,918,17.7,0.74,118,10.35,9.9%,9.9%,19.8%,1,0,100.0%,0,55,15,19,54,17,17,4.8,1.3,1.7,4.8,1.5,1.5,14,7,0,0,0,0,0.0,8,3,38%,2,2,13,0,0,3,0,0,2,200%,3,1.1,0.8,1.9,0.04,0.17,12.2,10.4,1.8,2.3,1.2,0.4,3.9,0.08,0.34,,,,,,894167,,2.3
18,Jul 11 '93,Mississauga,ON,CAN,73,188,R,2011,1,5,Y,20,RYANSTROME,Ryan,Strome,NYI,,,C,37,7,11,18,0.486486486,OHL,1.773584906,-1,89,20,28,7.9%,5.1%,29.6,58,15,8,562.0,15.2,703,19.0,0.80,61,6.54,8.3%,13.1%,21.4%,165,209,44.1%,16.8,25,29,8,20,22,21,2.7,3.1,0.9,2.1,2.3,2.2,8,4,0,0,0,0,-0.7,3,1,33%,0,1,12,0,0,1,0,0,0,0%,4,1.2,0.6,1.8,0.05,0.19,12.6,9.1,4.4,1.8,0.8,0,2.7,0.07,0.29,,,,,,1713333,,-0.3
26,Aug 12 '88,Milford,CT,USA,68,166,R,,,,Y,25,MARKARCOBELLO,Mark,Arcobello,EDM,,,C/RW,41,4,14,18,0.43902439,AHL,0.918918919,-7,70,29,28,5.7%,3.1%,30.5,32,23,8,618.0,15.1,894,21.8,0.69,93,8.99,6.7%,23.3%,30.0%,206,198,51.0%,16.7,38,78,23,29,13,18,3.7,7.6,2.2,2.8,1.3,1.7,8,4,0,0,0,0,7.0,,, ,,0,9,1,0,1,0,0,0,0%,4,0.7,0.5,1.2,0.03,0.12,11.9,13.3,-0.8,1.6,1.2,0,2.8,0.07,0.27,,,,6,Ribs,600000,,1.7
49,Feb 26 '88,Braintree,MA,USA,68,170,L,,,,Y,25,BRIANGIBBONS,Brian,Gibbons,PIT,,,C,41,5,12,17,0.414634146,AHL,1.071428571,5,29,9,15,17.2%,9.4%,23.3,19,1,0,489.7,11.9,694,16.9,0.71,69,8.49,7.9%,19.0%,27.0%,9,13,40.9%,0.9,43,24,19,9,11,10,5.3,2.9,2.3,1.1,1.3,1.2,6,3,0,0,0,0,8.2,,, ,,2,13,0,0,0,0,0,1,100%,4,1.1,0.8,1.9,0.05,0.23,10.4,10.5,4,2,1.7,0,3.7,0.09,0.45,,,,7,Lower body,550000,,2.7
44,May 09 '91,Carp,ON,CAN,73,187,L,2009,1,12,Y,22,CALVINDEHAAN,Calvin,de Haan,NYI,,,D,51,3,13,16,0.31372549,AHL,0.285714286,-7,71,25,57,4.2%,2.0%,53.4,35,9,26,1072.2,21.0,1398,27.4,0.77,89,4.99,4.7%,20.3%,25.0%,0,0,0.0%,0,58,114,104,25,34,30,3.2,6.4,5.8,1.4,1.9,1.7,30,14,0,0,0,0,0.8,,, ,,0,16,0,0,1,0,0,0,0%,5,0.8,1.6,2.4,0.05,0.13,19.1,21.9,-0.1,1.8,1.9,0,3.7,0.07,0.21,,,,5,Leg,1470000,,1.1
